Código,Grupo,Título,Naturaleza,Etapa,Referencia TRD,Estado,Versión,Fecha,Archivo,Tamaño bytes,SHA-256
JC-GU-01-PROV,Guía y publicación,Guía de publicación y uso transitorio de formatos contractuales,Guía institucional,Transversal,230-15 / 230-37 / 230-52,Borrador transitorio - en proceso de aprobación,0.1,2026-07-31,00_Guia_Publicacion_Uso_Transitorio_ITA_3_5.docx,865543,4512976de7e809ac46d7ccb946db6c2c750b95427c7588a80d1cb965c4fd86bd
JC-FT-01-PROV,Planeación precontractual,Formato de estudios y documentos previos,Formato,Planeación,230-15 según tipología contractual,Borrador transitorio - en proceso de aprobación,0.1,2026-07-31,01_Formato_Estudios_Documentos_Previos.docx,863498,c70c3116ed87b36f40de506bb1ad941c9063b192c6b3bb371379573c55fe3ed3
JC-FT-02-PROV,Planeación precontractual,Formato de análisis del sector y estudio de mercado,Formato,Planeación,230-15 - expediente contractual,Borrador transitorio - en proceso de aprobación,0.1,2026-07-31,02_Formato_Analisis_Sector_Estudio_Mercado.docx,863465,13fd40be00ee66e4c69d42548c7e578e2a33eb1f1ff2711fb63db53d798dd71b
JC-FT-03-PROV,Planeación precontractual,Ficha de aplicabilidad de Documentos Tipo,Ficha de control,Planeación,230-15 - expediente contractual,Borrador transitorio - en proceso de aprobación,0.1,2026-07-31,03_Ficha_Aplicabilidad_Documentos_Tipo.docx,862609,c07221ed35ef5fd47da1b4a0d7a4f0ea6ac778f1beabd181f881187ef6e21df8
JC-FT-04-PROV,Pliegos y selección,Modelo de invitación pública de mínima cuantía,Modelo de selección,Selección,230-15-03 / 04 / 05 / 06 según objeto,Borrador transitorio - en proceso de aprobación,0.1,2026-07-31,04_Modelo_Invitacion_Publica_Minima_Cuantia.docx,862545,6b80a68c4a3ebafe7d8209e63c195325c628ae25ef02d587a22d74673f4be82e
JC-FT-05-PROV,Pliegos y selección,Modelo base de pliego no sujeto a Documentos Tipo,Modelo de pliego,Selección,230-15 según tipología,Borrador transitorio - en proceso de aprobación,0.1,2026-07-31,05_Modelo_Base_Pliego_No_Sujeto_Documentos_Tipo.docx,863663,aa7f8fb8082290a4bc42cbb3a626138816a57f1a3d4ca3801b0f11eaa99e65ca
JC-FT-06-PROV,Pliegos y selección,Formato de informe de evaluación de ofertas,Formato,Selección,230-15 - evaluación,Borrador transitorio - en proceso de aprobación,0.1,2026-07-31,06_Formato_Informe_Evaluacion_Ofertas.docx,863889,438eeb401cbb7a61308f77c3c9fd6864163550d53ee32124be498da882b6b01a
JC-FT-07-PROV,Modelos de contrato,Modelo de contrato de servicios profesionales,Modelo de contrato,Contratación,230-15-02,Borrador transitorio - en proceso de aprobación,0.1,2026-07-31,07_Modelo_Contrato_Servicios_Profesionales.docx,863884,e4c1d67d45a6bd7f528e612422350318ff05f8184b89bcdeb23feb39271a8f4c
JC-FT-08-PROV,Modelos de contrato,Modelo de contrato de apoyo a la gestión,Modelo de contrato,Contratación,230-15-05,Borrador transitorio - en proceso de aprobación,0.1,2026-07-31,08_Modelo_Contrato_Apoyo_Gestion.docx,863905,dffc65fb55d42fb82a8d7ab308198474229d6b48070f2361f4335c5ad9330f86
JC-FT-09-PROV,Modelos de contrato,Modelo de contrato de suministro,Modelo de contrato,Contratación,230-15-04,Borrador transitorio - en proceso de aprobación,0.1,2026-07-31,09_Modelo_Contrato_Suministro.docx,863966,c7703910c0beeb78f87f7977af18163b4d8c93b3015a1e3d936b28c40cc3efd7
